timestamp,user,amount
2026-05-27T10:37:13.139549,alice,3939
2026-05-27T10:37:14.145102,diana,2148
2026-05-27T10:37:15.146982,alice,4711
2026-05-27T10:37:16.150424,charlie,4695
2026-05-27T10:37:17.155500,alice,4428
2026-05-27T10:37:18.167325,charlie,1027
2026-05-27T10:37:19.174351,bob,4179
2026-05-27T10:37:20.176780,diana,230
2026-05-27T10:37:21.182460,diana,2822
2026-05-27T10:37:22.188284,bob,4254
2026-05-27T10:37:23.193939,charlie,2243
2026-05-27T10:37:24.199960,bob,3341
2026-05-27T10:37:25.202411,diana,2713
2026-05-27T10:37:26.205847,alice,4962
2026-05-27T10:37:27.208187,diana,97
2026-05-27T10:37:28.220066,diana,4232
2026-05-27T10:37:29.226490,alice,3458
2026-05-27T10:37:30.237631,charlie,548
2026-05-27T10:37:31.241345,charlie,961
2026-05-27T10:37:32.245576,charlie,4679
2026-05-27T10:37:33.247880,charlie,2426
2026-05-27T10:37:34.260204,charlie,4215
2026-05-27T10:37:35.261809,bob,1518
2026-05-27T10:37:36.268083,diana,4394
2026-05-27T10:37:37.273252,diana,2682
2026-05-27T10:37:38.279640,bob,2205
2026-05-27T10:37:39.287173,alice,932
2026-05-27T10:37:40.293576,alice,4079
2026-05-27T10:37:41.295968,alice,741
2026-05-27T10:37:42.298943,bob,4595
2026-05-27T10:37:43.300693,bob,2692
2026-05-27T10:37:44.310042,diana,3708
2026-05-27T10:37:45.316215,charlie,2152
2026-05-27T10:37:46.325931,charlie,2446
2026-05-27T10:37:47.328667,charlie,482
2026-05-27T10:37:48.331733,charlie,3578
2026-05-27T10:37:49.343125,alice,2136
2026-05-27T10:37:50.357141,bob,2352
2026-05-27T10:37:51.360572,alice,265
2026-05-27T10:37:52.364419,bob,3282
2026-05-27T10:37:53.376490,bob,4905
2026-05-27T10:37:54.382682,diana,2143
2026-05-27T10:37:55.394566,diana,262
2026-05-27T10:37:56.406719,diana,3549
2026-05-27T10:37:57.409637,diana,4370
2026-05-27T10:37:58.412643,diana,4178
2026-05-27T10:37:59.416155,diana,2482
2026-05-27T10:38:00.427480,diana,2374
2026-05-27T10:38:01.432735,charlie,4386
